invoice_id,invoice_number,invoice_date,due_date,total_ht,tva_amount,total_ttc,energy_cost,status,client_code,client_name,sector,building_code,building_name,region_code,payment_date,payment_amount,payment_method,created_at,updated_at,extraction_timestamp,source_type,source_filename
1,INV-1-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,3308.51,898.65,6648.99,1979.45,pending,CLI001,Tech Solutions Corp,Technology,BAT001,DataCenter North,REG01,,,,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
3,INV-2-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,2122.7,638.68,3118.63,5331.3,pending,CLI002,Green Industries,Manufacturing,BAT002,Office Tower Downtown,REG01,,,,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
9,INV-7-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,4895.56,1213.37,4377.08,2629.85,pending,CLI006,City Mall Group,Retail,BAT007,City Mall West,REG01,,,,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
10,INV-8-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,5107.21,1360.92,8041.54,5074.14,paid,CLI007,HealthCare Plus,Healthcare,BAT008,Central Hospital,REG01,2025/02/05 00:00:00.000,8041.54,bank_transfer,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
16,INV-12-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,6956.96,839.41,3737.32,4984.78,paid,CLI010,DataCloud,Technology,BAT012,Cloud HQ,REG01,2025/02/02 00:00:00.000,3737.32,check,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
4,INV-3-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,5127.77,1363.35,8040.67,5041.97,paid,CLI003,Commerce Hub,Retail,BAT003,Mall South,REG02,2025/02/04 00:00:00.000,8040.67,card,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
6,INV-4-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,4564.4,745.92,3545.73,5468.06,pending,CLI005,Eco Housing Group,Real Estate,BAT004,Eco Residence A,REG02,,,,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
7,INV-5-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,3550.19,913.54,6225.53,4389.28,paid,CLI005,Eco Housing Group,Real Estate,BAT005,Eco Residence B,REG02,2025/02/06 00:00:00.000,6225.53,card,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
12,INV-10-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,3240.39,1025.84,4709.76,1989.14,pending,CLI008,EduSmart,Education,BAT010,Smart School,REG02,,,,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
8,INV-6-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,5386.16,814.65,2649.21,5654.93,paid,CLI006,City Mall Group,Retail,BAT006,City Mall East,REG03,2025/02/08 00:00:00.000,2649.21,bank_transfer,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
11,INV-9-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,6519.52,1103.82,7244.21,5501.56,paid,CLI007,HealthCare Plus,Healthcare,BAT009,Private Clinic,REG03,2025/02/02 00:00:00.000,7244.21,card,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
14,INV-11-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,6391.82,1288.3,7238.37,3268.34,paid,CLI009,LogiTrans,Logistics,BAT011,Logistics Hub,REG03,2025/02/08 00:00:00.000,7238.37,card,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
15,INV-13-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,6899.78,1051.05,4292.25,4294.91,pending,CLI009,LogiTrans,Logistics,BAT013,Port Logistics Tanger,REG04,,,,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
2,INV-16-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,3822.43,922.99,5528.96,1953.99,paid,CLI001,Tech Solutions Corp,Technology,BAT016,Tech Park Tanger,REG04,2025/02/08 00:00:00.000,5528.96,check,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
13,INV-14-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,3329.36,484.72,6156.01,5303.34,paid,CLI008,EduSmart,Education,BAT014,Cultural Center Fès,REG05,2025/02/09 00:00:00.000,6156.01,card,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
5,INV-15-2025-01,2025/01/31 00:00:00.000,2025/02/15 00:00:00.000,5645.84,1349.45,5758.53,5601.67,pending,CLI004,Urban Services,Services,BAT015,Medina Hotel,REG05,,,,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2025/12/29 17:45:59.000,MySQL,GreenCity_Operational_Database.sql
